t,frame,body,node,x,y,z,vx,vy,vz
0,0,0,0,2,0,0,0,0,0
0,0,0,1,2.1428571428571428,0,0,0,0,0
0,0,0,2,2.2857142857142856,0,0,0,0,0
0,0,0,3,2.4285714285714284,0,0,0,0,0
0,0,0,4,2.5714285714285712,0,0,0,0,0
0,0,0,5,2.7142857142857144,0,0,0,0,0
0,0,0,6,2.8571428571428572,0,0,0,0,0
0,0,0,7,3,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,0,1,1,1.1428571428571428,0,0,0,0,0
0,0,1,2,1.2857142857142856,0,0,0,0,0
0,0,1,3,1.4285714285714286,0,0,0,0,0
0,0,1,4,1.5714285714285714,0,0,0,0,0
0,0,1,5,1.7142857142857142,0,0,0,0,0
0,0,1,6,1.8571428571428572,0,0,0,0,0
0,0,1,7,2,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,2,1,0.14285714285714285,0,0,0,0,0
0,0,2,2,0.2857142857142857,0,0,0,0,0
0,0,2,3,0.42857142857142855,0,0,0,0,0
0,0,2,4,0.5714285714285714,0,0,0,0,0
0,0,2,5,0.71428571428571419,0,0,0,0,0
0,0,2,6,0.8571428571428571,0,0,0,0,0
0,0,2,7,1,0,0,0,0,0
0.010000000000000002,1,0,0,2.0000020028819074,-1.705285625858253e-08,-0.00048972581739282204,-0.00071379406976362924,4.7021373472930393e-05,-0.28948667793944122
0.010000000000000002,1,0,1,2.1428591457362485,-7.0135887646799743e-07,-0.00049040943740064882,-0.00071379587261265112,9.6243897428620085e-05,-0.28979760097186835
0.010000000000000002,1,0,2,2.2857162885961291,-9.8261775959329604e-07,-0.0004906570362901763,-0.00071379673655944424,9.4696859398277222e-05,-0.28992304801868735
0.010000000000000002,1,0,3,2.4285734314597414,-9.3754047503848822e-07,-0.00049066226426954646,-0.00071379710188886774,6.3724023409906448e-05,-0.28994768678838045
0.010000000000000002,1,0,4,2.5714305743255403,-6.4668745826303477e-07,-0.00049057664925064896,-0.0007137973084407436,2.0268321776675675e-05,-0.28993730813254887
0.010000000000000002,1,0,5,2.714287717192386,-1.9295847846877602e-07,-0.00049048981938407501,-0.00071379754920373822,-2.5233509642934592e-05,-0.28993003723150429
0.010000000000000002,1,0,6,2.857144860059595,3.4578149027187272e-07,-0.00049042940441228384,-0.00071379787176108602,-6.8948175870119077e-05,-0.28993645482637165
0.010000000000000002,1,0,7,3.0000020029268679,9.1005450061403249e-07,-0.00049038343891074829,-0.00071379823428729993,-0.00011143830536519206,-0.28994989041543251
0.010000000000000002,1,1,0,1.0000019993034577,-6.4837869245798543e-07,-0.0004698374334904205,-0.00047537415066223554,-0.00018597067272591386,-0.18834556940659247
0.010000000000000002,1,1,1,1.1428591416905314,1.7110056381527227e-06,-0.00048162299521173975,-0.00047554213241567263,-0.00051241903456393121,-0.19002737994261726
0.010000000000000002,1,1,2,1.2857162846386683,2.7824878444311351e-06,-0.00048829243583714153,-0.00047569374903575596,-0.00056071536735238987,-0.1914934320920974
0.010000000000000002,1,1,3,1.4285734279824616,2.9394626687405966e-06,-0.00049135536177059239,-0.00047580106094841416,-0.00046435105631635815,-0.19250357103998511
0.010000000000000002,1,1,4,1.5714305715756649,2.5139739222596732e-06,-0.00049214610796632864,-0.00047584927383310721,-0.00032578220809021199,-0.1929373271550445
0.010000000000000002,1,1,5,1.7142877153029059,1.7708582674424771e-06,-0.00049171671086060422,-0.00047584176880744242,-0.00020218069090964736,-0.19283921487201119
0.010000000000000002,1,1,6,1.857144859085778,8.933142266662483e-07,-0.00049078145564155956,-0.00047579759207396887,-0.00010608000398661475,-0.19239476352416129
0.010000000000000002,1,1,7,2.0000020028819074,-1.705285625858253e-08,-0.00048972581739282204,-0.00047574057254737355,-2.2981981445010523e-05,-0.19182973132136871
0.010000000000000002,1,2,0,0,0,0,0,0,0
0.010000000000000002,1,2,1,0.14285687789865803,-1.4394072053383504e-06,-0.00028525946038577968,-0.00012993705786964668,0.00021260807353752054,-0.051481699451648398
0.010000000000000002,1,2,2,0.2857140704283731,-4.3169681717633996e-06,-0.00044586055323198921,-0.00021279433260960336,0.00063302148344611408,-0.084310157979812311
0.010000000000000002,1,2,3,0.42857148494459812,-6.7544848178805964e-06,-0.00051850950236990577,-0.00025731494710621401,0.00097806930087804451,-0.10194944374243782
0.010000000000000002,1,2,4,0.57142903950082324,-7.5311213788813556e-06,-0.00053567391680702534,-0.00027278263343628954,0.001064493687726817,-0.10807781690951465
0.010000000000000002,1,2,5,0.71428666939885033,-6.351854609988363e-06,-0.00052298753988509966,-0.00026888098788247172,0.00084967112890084028,-0.10653196581005309
0.010000000000000002,1,2,6,0.85714433061277673,-3.7595540278781031e-06,-0.00049789365004722494,-0.00025481661975189162,0.0004180697081919965,-0.10095959419453959
0.010000000000000002,1,2,7,1.0000019993034577,-6.4837869245798543e-07,-0.0004698374334904205,-0.0002376870753311178,-9.2985336362953188e-05,-0.094172784703296222
0.020000000000000011,2,0,0,2.0000180931844347,1.0145788815929844e-06,-0.0019568191131964707,-0.0047677724856575532,0.00060297608700292274,-0.58530301166587195
0.020000000000000011,2,0,1,2.1428752359937198,3.4188564035273957e-06,-0.0019600219780696614,-0.0047677901200219291,0.0011816010291874715,-0.58542496958878154
0.020000000000000011,2,0,2,2.2857323788967472,4.1010927654797683e-06,-0.0019615039891927697,-0.0047677970236839565,0.0013825238932186775,-0.58549299736910798
0.020000000000000011,2,0,3,2.4285895218586382,3.5538638429169114e-06,-0.0019620227632441097,-0.0047677964312690703,0.0013007502841175045,-0.58553828277877218
