Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
1121;1000;-20;6,66667  ;-8,05907e+01
1122;1000;-20;-6,66667  ;-8,05907e+01
1379;1000;-11,9736  ;-11,0746  ;-8,05907e+01
1383;1000;-11,0374  ;11,8893  ;-8,05907e+01
1384;1000;-9,66438  ;0,210664  ;-8,05907e+01
8288;1000;-20;0;-8,05907e+01
8291;1000;-14,8322  ;3,43867  ;-8,05907e+01
8292;1000;-14,8322  ;-3,228  ;-8,05907e+01
8455;1000;-10,819  ;-5,43198  ;-8,05907e+01
8863;1000;-8,85201  ;15,9447  ;-8,05907e+01
10774;1000;-15,9868  ;-8,87064  ;-8,05907e+01
11169;1000;-15,5187  ;9,278  ;-8,05907e+01
12344;1000;-20;13,3333  ;-8,05907e+01
12346;1000;-15,5187  ;15,9447  ;-8,05907e+01
14124;1000;-10,3509  ;6,05  ;-8,05907e+01
14226;1000;-20;-13,3333  ;-8,05907e+01
14227;1000;-15,9868  ;-15,5373  ;-8,05907e+01
14230;1000;-9,32015  ;-15,5373  ;-8,05907e+01
14625;1000;-13,3333  ;20;-8,05907e+01
4;1000;-20;-20;-8,05908e+01
8;1000;-20;20;-8,05908e+01
8457;1000;-6,24764  ;-10,7787  ;-8,05908e+01
14229;1000;-13,3333  ;-20;-8,05908e+01
14626;1000;-5,38576  ;10,7912  ;-8,05908e+01
95;1000;-6,66667  ;-20;-8,05909e+01
864;1000;-6,66667  ;20;-8,05909e+01
8456;1000;-5,09302  ;-5,13607  ;-8,05909e+01
11713;1000;-4,13956  ;-0,587296  ;-8,05909e+01
14451;1000;-4,69927  ;4,95191  ;-8,05909e+01
10745;1000;-3,59416  ;-15,2414  ;-8,05910e+01
14179;1000;-3,20041  ;14,8466  ;-8,05910e+01
1380;1000;-0,521655  ;-10,4828  ;-8,05912e+01
1382;1000;0,265839  ;9,69315  ;-8,05912e+01
12363;1000;0,4318  ;-5,93403  ;-8,05912e+01
14793;1000;0,825547  ;4,15395  ;-8,05912e+01
1385;1000;1,38526  ;-1,38526  ;-8,05913e+01
14178;1000;0;20;-8,05913e+01
10742;1000;0;-20;-8,05914e+01
6234;1000;3,46625  ;14,8466  ;-8,05916e+01
10746;1000;3,07251  ;-15,2414  ;-8,05916e+01
13992;1000;5,41795  ;-10,492  ;-8,05919e+01
14453;1000;5,3745  ;5,1416  ;-8,05919e+01
9465;1000;5,9342  ;-0,397604  ;-8,05920e+01
13993;1000;6,3714  ;-5,94326  ;-8,05920e+01
14450;1000;6,10957  ;10,4911  ;-8,05921e+01
863;1000;6,66667  ;20;-8,05923e+01
96;1000;6,66667  ;-20;-8,05924e+01
9489;1000;9,01211  ;-15,2506  ;-8,05928e+01
1377;1000;10,4832  ;0,590048  ;-8,05929e+01
6232;1000;9,30998  ;15,6445  ;-8,05929e+01
13382;1000;10,9203  ;-4,95561  ;-8,05930e+01
10058;1000;11,2182  ;5,93952  ;-8,05931e+01
1378;1000;11,3575  ;-10,5013  ;-8,05932e+01
1381;1000;11,9533  ;11,289  ;-8,05934e+01
10057;1000;15,2416  ;3,62836  ;-8,05944e+01
12350;1000;15,2416  ;-3,03831  ;-8,05944e+01
8450;1000;15,9766  ;8,97783  ;-8,05947e+01
13381;1000;15,6788  ;-8,58397  ;-8,05947e+01
14123;1000;13,3333  ;20;-8,05953e+01
9486;1000;13,3333  ;-20;-8,05954e+01
9487;1000;15,6788  ;-15,2506  ;-8,05956e+01
13656;1000;15,9766  ;15,6445  ;-8,05959e+01
12347;1000;20;0;-8,05961e+01
522;1000;20;6,66667  ;-8,05970e+01
521;1000;20;-6,66667  ;-8,05971e+01
13929;1000;20;-13,3333  ;-8,05972e+01
14803;1000;20;13,3333  ;-8,05972e+01
3;1000;20;-20;-8,06017e+01
6;1000;20;20;-8,06018e+01
12362;996,334  ;2,34352  ;-5,90182  ;-8,01479e+01
12364;996,334  ;1,39006  ;-10,4506  ;-8,01479e+01
10754;996,334  ;4,98422  ;-15,2092  ;-8,01482e+01
9545;996,334  ;7,32966  ;-10,4598  ;-8,01485e+01
11170;996,266  ;-14,2545  ;7,69614  ;-8,01390e+01
8866;996,266  ;-7,58784  ;14,3628  ;-8,01391e+01
8867;996,266  ;-9,77319  ;10,3075  ;-8,01391e+01
13309;996,266  ;-9,0867  ;4,46813  ;-8,01391e+01
14452;996,266  ;-4,12159  ;9,20938  ;-8,01393e+01
9467;996,258  ;4,50499  ;-1,94936  ;-8,01389e+01
6217;996,258  ;9,05394  ;-0,961704  ;-8,01393e+01
9547;996,258  ;9,49114  ;-6,50736  ;-8,01394e+01
11715;996,24  ;-4,65403  ;2,50327  ;-8,01361e+01
9466;996,24  ;0,870794  ;1,70531  ;-8,01364e+01
13983;996,24  ;0,311086  ;7,24451  ;-8,01364e+01
6214;996,24  ;5,41974  ;2,69296  ;-8,01368e+01
14228;996,24  ;6,15482  ;8,04243  ;-8,01369e+01
8458;996,221  ;-8,58712  ;-8,12864  ;-8,01337e+01
8459;996,221  ;-7,4325  ;-2,486  ;-8,01337e+01
8460;996,221  ;-2,86113  ;-7,83274  ;-8,01339e+01
11714;996,221  ;-1,90767  ;-3,28396  ;-8,01339e+01
10772;995,615  ;-20;-8,98669  ;-8,00602e+01
10775;995,615  ;-15,9868  ;-11,1907  ;-8,00602e+01
8864;995,615  ;-11,1716  ;15,9447  ;-8,00603e+01
11164;995,615  ;-20;-15,6534  ;-8,00603e+01
13000;995,615  ;-15,6529  ;20;-8,00603e+01
8865;995,615  ;-8,98621  ;20;-8,00604e+01
9485;995,615  ;8,98669  ;-20;-8,00618e+01
9488;995,615  ;11,3321  ;-15,2506  ;-8,00620e+01
